,n_sample_1,n_sample_2,n_sample_4,n_sample_8,n_sample_10,original
loss,0.2767630517482757,0.2568347454071045,0.2838989198207855,0.2991549074649811,0.3185134530067444,0.23500541100899375
accuracy,0.9264553785324096,0.928866684436798,0.9286944270133972,0.920771598815918,0.924216330051422,0.923326442639033
precision,0.9267869591712952,0.9377211332321168,0.9376991391181946,0.9000989198684692,0.9368082880973816,0.9503398935000101
recall,0.9251818656921388,0.9179078340530396,0.9175614714622498,0.9456182718276978,0.9089019894599916,0.8924489120642344
auc,0.9703726768493652,0.9730226397514344,0.969860851764679,0.9679098725318908,0.9656336307525636,0.9732237358887991
f1_score,0.9259837168678816,0.9277087063478492,0.9275210145371312,0.9222972933332372,0.9226441735169364,0.9204783720888727
