,n_sample_1,n_sample_2,n_sample_4,n_sample_8,n_sample_10,original
loss,0.23268523812294,0.2648511528968811,0.281480461359024,0.2855440080165863,0.3695917725563049,0.23500541100899375
accuracy,0.9230107069015504,0.9245607852935792,0.9224939942359924,0.9173269271850586,0.920771598815918,0.923326442639033
precision,0.9271708726882936,0.9371653199195862,0.9200275540351868,0.9026430249214172,0.918592631816864,0.9503398935000101
recall,0.91721510887146,0.9092483520507812,0.9244890809059144,0.9345341324806212,0.922410786151886,0.8924489120642344
auc,0.9732722640037536,0.9702651500701904,0.9695627689361572,0.9689167141914368,0.9616137742996216,0.9732237358887991
f1_score,0.9221661207987102,0.9229957898077158,0.9222529216878178,0.9183117837448946,0.9204977496482912,0.9204783720888727
