,n_sample_1,n_sample_2,n_sample_4,n_sample_8,n_sample_10,original
loss,0.280886173248291,0.3301925957202911,0.3950352966785431,0.4201216995716095,0.4143591523170471,0.23500541100899375
accuracy,0.9209438562393188,0.9211161136627196,0.9173269271850586,0.9199104309082032,0.9193937182426452,0.923326442639033
precision,0.938267171382904,0.9470003843307496,0.9293614029884338,0.9532185792922974,0.9504655599594116,0.9503398935000101
recall,0.9002424478530884,0.8912366032600403,0.9023207426071168,0.8822306990623474,0.8839625716209412,0.8924489120642344
auc,0.9676927924156188,0.9615390300750732,0.956253945827484,0.9568454027175904,0.9558724761009216,0.9732237358887991
f1_score,0.918861589048359,0.9182726835706267,0.9156414755817364,0.9163518746997176,0.9160086090645057,0.9204783720888727
