,n_sample_1,n_sample_2,n_sample_4,n_sample_8,n_sample_10,original
loss,0.2282855957746505,0.2645978629589081,0.3208892345428467,0.3324480056762695,0.4947547614574432,0.23500541100899375
accuracy,0.9283499717712402,0.9259386658668518,0.9276610612869264,0.929383397102356,0.9271443486213684,0.923326442639033
precision,0.9361101388931274,0.934252381324768,0.9429084658622742,0.9362451434135436,0.9375,0.9503398935000101
recall,0.918600618839264,0.9154831767082214,0.909594714641571,0.9206789135932922,0.914444088935852,0.8924489120642344
auc,0.9749584794044496,0.97000253200531,0.9639402627944946,0.9622567296028136,0.9525162577629088,0.9732237358887991
f1_score,0.9272727289728798,0.9247725537718894,0.9259520479806664,0.9283967841791004,0.9258285263568304,0.9204783720888727
