,n_sample_1,n_sample_2,n_sample_4,n_sample_8,n_sample_10,original
loss,0.2228537648916244,0.254379540681839,0.2269768565893173,0.2757537961006164,0.2559930384159088,0.23500541100899375
accuracy,0.9238718748092652,0.9235273599624634,0.9261109232902528,0.9230107069015504,0.9230107069015504,0.923326442639033
precision,0.950276255607605,0.9176068305969238,0.9452898502349854,0.9283707737922668,0.9242002964019777,0.9503398935000101
recall,0.8936612606048584,0.9296848177909852,0.9037062525749208,0.915829598903656,0.9206789135932922,0.8924489120642344
auc,0.973410427570343,0.9707490801811218,0.9746714234352112,0.968430757522583,0.9721099138259888,0.9732237358887991
f1_score,0.9210996240843412,0.9236063399644916,0.9240304475004,0.922057544271234,0.9224362443069136,0.9204783720888727
