,n_sample_1,n_sample_2,n_sample_4,n_sample_8,n_sample_10,original
loss,0.259027898311615,0.238894984126091,0.2500140368938446,0.2535929083824157,0.2710844874382019,0.23500541100899375
accuracy,0.9249053001403807,0.9252497553825378,0.9264553785324096,0.9280055165290833,0.9283499717712402,0.923326442639033
precision,0.9605411291122437,0.9388193488121032,0.9149797558784484,0.9293913245201112,0.9414076209068298,0.9503398935000101
recall,0.8853481411933899,0.9089019894599916,0.9393834471702576,0.9255282282829284,0.9127121567726136,0.8924489120642344
auc,0.9708942770957948,0.9749210476875304,0.9722333550453186,0.9708868265151978,0.9702947735786438,0.9732237358887991
f1_score,0.9214131279483708,0.9236184658416262,0.927021023448902,0.927455753716947,0.9268378347761732,0.9204783720888727
