,n_sample_1,n_sample_2,n_sample_4,n_sample_8,original
loss,0.5078995625178019,0.5617113908131918,0.6135555704434713,0.6355254848798116,0.486833781003952
accuracy,0.8460787534713745,0.8385578195254008,0.8409691254297892,0.8429211179415385,0.8374095559120178
precision,0.86597740650177,0.8407920996348063,0.8365145723025004,0.861232320467631,0.8283203840255737
recall,0.8168802658716837,0.8335065245628357,0.8468998869260153,0.8180348873138428,0.8489781618118286
auc,0.9163964788118998,0.908464233080546,0.9079278111457825,0.9045230746269226,0.91680908203125
f1_score,0.8407083538084196,0.8369807349503464,0.8412067407509912,0.8382306347962386,0.8385220612830251
