,n_sample_1,n_sample_2,n_sample_4,n_sample_8,original
loss,0.4994831383228302,0.5883826613426208,0.6105876962343851,0.7155558466911316,0.4626203775405884
accuracy,0.8311516841252645,0.8319554328918457,0.8349982897440592,0.8368928631146749,0.840854287147522
precision,0.8067195415496826,0.7902342279752096,0.8208508491516113,0.8306493759155273,0.8225435614585876
recall,0.8720701932907104,0.9020898342132568,0.8552130063374838,0.8444752295811971,0.8669899702072144
auc,0.9214553038279215,0.9123723904291788,0.9080931941668192,0.8981638352076212,0.9175574779510498
f1_score,0.8373014610229562,0.8422912866705833,0.8375742758142799,0.8374185445395782,0.8441821419667199
