,n_sample_1,n_sample_2,n_sample_4,n_sample_8,original
loss,0.5028217732906342,0.6101707617441813,0.6816255251566569,0.8721443812052408,0.5113036036491394
accuracy,0.8440119425455729,0.836203932762146,0.8386152187983195,0.8396486441294352,0.8372373580932617
precision,0.8500653306643168,0.8468659520149231,0.8488950729370117,0.8321892023086548,0.8438385128974915
recall,0.835700253645579,0.8239233295122782,0.8263480067253113,0.8500173091888428,0.825424313545227
auc,0.9184041023254395,0.9019107023874918,0.8995677431424459,0.8844353357950846,0.9168509840965271
f1_score,0.8419318515518422,0.8334245080379881,0.8358517736723914,0.8405813372321985,0.8345298466099145
